NMec = 2020
T = 20
P = 4
Profits ignored
Solution time = 1.442e-02
Possible tasks = 12
Soluctions = 22
Task     Starting date     Ending date     Profit 
1               1              17              1
2               1              17              1
3               1              21              1
4               2              13              1
5               3              49              1
6               5              29              1
7               8              34              1
8               9              20              1
9              10              14              1
10             14              26              1
11             15              30              1
12             20              39              1
13             20              48              1
14             22              25              1
15             22              38              1
16             24              42              1
17             26              41              1
18             28              42              1
19             38              48              1
20             43              49              1
End
