NMec = 2020
T = 28
P = 4
Profits not ignored
Solution time = 8.183e-01
Viable tasks = 46665103
Total Profit = 39724
Task     Starting date     Ending date     Profit 
1               2              28           2101
2               3              18           2100
3               5              21           2927
4               7              16           1192
5               7              43           4783
6               9              25           3748
7              18              38           3281
8              20              26            633
9              24              26            364
10             25              33            703
11             27              37            691
12             28              38           1421
13             31              42           2403
14             32              39           2022
15             34              46           1404
16             34              53           3885
17             39              59           4744
18             40              61           4898
19             44              47            975
20             44              64           1626
21             45              52            809
22             47              58           2512
23             48              67           2713
24             51              56            699
25             52              58            979
26             52              59            752
27             60              68           1966
28             61              65           1196
End
