NMec = 2020
T = 30
P = 6
Profits not ignored
Solution time = 5.135e+00
Número dos conjuntos de tarefas viáveis = 208452244
Melhor lucro total = 50154
Task     Starting date     Ending date     Profit     Assigned to
1               0              47           5754          0
2               1               4            437          1
3               1              22           4749          2
4               4              21           3732          3
5               4              49           9216          4
6               5              14            984          1
7               6              23           4849          5
8               6              44           8750         -1
9               9              20           1243         -1
10             11              14            411         -1
11             11              16           1271         -1
12             12              24           2564         -1
13             12              25           1823         -1
14             14              25           1987         -1
15             15              27           2167          1
16             17              30           3036         -1
17             22              46           3103          3
18             24              47           4790          2
19             25              36           1151          5
20             26              34           1350         -1
21             26              39           1546         -1
22             29              48           2189          1
23             29              49           1910         -1
24             30              42           1785         -1
25             31              36            764         -1
26             35              38            614         -1
27             36              42            992         -1
28             38              46           1984          5
29             39              45           1509         -1
30             39              48            673         -1
End
