NMec = 2020
T = 32
P = 8
Profits not ignored
Solution time = 5.029e+01
Viable tasks = -2006749074
Total Profit = 47780
Task     Starting date     Ending date     Profit 
1               0               6           1136
2               1               5           1080
3               2               5            611
4               2              10           1163
5               2              38           8688
6               3               4            394
7               3               6            694
8               3              14           1281
9               4              14           1298
10              4              16           1405
11              5               9           1443
12              5              13           1593
13              5              26           1412
14              6              20           3060
15              6              30           3933
16              8              19           1210
17              8              37           4107
18              9              24           2713
19             10              22           1658
20             11              28           4722
21             12              23           2078
22             17              19            289
23             17              34           5115
24             17              35           1852
25             20              29            809
26             20              36           3659
27             21              29           1623
28             23              32           1589
29             23              34           1266
30             25              32           1471
31             25              35            674
32             27              30            754
End
