NMec = 2020
T = 40
P = 7
Profits not ignored
Solution time = 1.484e+03
Task     Starting date     Ending date     Profit     Assigned to
1               0              37           6825          0
2               1              14           2038          1
3               1              15           2802          2
4               1              16           3248          3
5               4              15           1794          4
6               5              22           1327          5
7               5              54           7102          6
8               6              53           9046         -1
9              10              49           2785         -1
10             10              57           5734         -1
11             12              22           2729         -1
12             13              21           1603         -1
13             15              32           3425          1
14             15              35           2720         -1
15             16              25            747          2
16             17              25           1533          3
17             17              28           1684          4
18             17              38           2756         -1
19             18              26           1066         -1
20             19              30           1029         -1
21             23              31           1366          5
22             23              37           1334         -1
23             26              32            367          2
24             26              37            970          3
25             29              43           1428          4
26             29              44           1541         -1
27             31              46           1932         -1
28             31              48           2118         -1
29             32              42           1977          5
30             33              47           2908          1
31             34              44           1258          2
32             34              48           1580         -1
33             37              52           1529         -1
34             37              54           2650         -1
35             38              52           1068          0
36             38              56           1706          3
37             42              51           2055         -1
38             43              53           2662          5
39             44              47           1165          4
40             48              54           1349          1
End
