NMec = 98498
T = 35
P = 4
Profits not ignored
Solution time = 4.419e+00
Viable job selections = 296354469
Best total profit = 51536
Task data
    1  87 13097     0
    2  83 13032     1
    3  77  5844    -1
    9  18  1189     2
   14  38  3065    -1
   18  86 13088     3
   19  28   913     2
   22  39  3246    -1
   22  45  2066    -1
   25  43  3082    -1
   30  39  1184    -1
   31  33   349     2
   31  83  7167    -1
   32  40  1048    -1
   37  41   777    -1
   37  52  4107     2
   40  64  3874    -1
   41  59  2793    -1
   42  49  1600    -1
   42  55  1312    -1
   43  58  3887    -1
   44  66  3040    -1
   45  55  1069    -1
   46  60  1399    -1
   53  63  2175     2
   54  61   649    -1
   55  57   822    -1
   56  62  1130    -1
   62  75  1931    -1
   66  77  1009    -1
   67  76  1517    -1
   68  71   702    -1
   68  83  3586     2
   75  86  1834    -1
   81  86   497    -1
End
