NMec = 98498
T = 35
P = 6
Profits not ignored
Solution time = 4.016e+01
Viable job selections = 2426918356
Best total profit = 60738
Task data
    0  56 15140     0
    2   4   531     1
    2  23  5004     2
    3  25  2134    -1
    5  18  2280     1
    9  26  2545    -1
    9  29  2435    -1
   10  23  3355     3
   11  24  3259     4
   13  33  3835     5
   13  40  3629    -1
   15  39  3824    -1
   18  31  2350    -1
   20  34  3062     1
   21  40  2097    -1
   21  46  3112    -1
   23  43  3214    -1
   26  35  1216     2
   26  46  5440     3
   27  42  2706     4
   30  33   760    -1
   31  36   670    -1
   34  57  3754     5
   35  43   975    -1
   37  54  4857     1
   38  41   374    -1
   38  43   632    -1
   39  52  1748    -1
   39  58  2185     2
   40  50   975    -1
   40  50  1259    -1
   41  53   735    -1
   46  58  1709     4
   49  52   835     3
   53  58  1570     3
End
