NMec = 98498
T = 37
P = 1
Profits ignored
Solution time = 2.987e-01
Maximum possible tasks = 18
Solutions = 1408
Task data
    8  19     1     0
   42 308     1    -1
   47  55     1     0
   54  72     1    -1
   67  69     1    -1
   67  69     1     0
   71  75     1    -1
   75  85     1     0
   86 101     1    -1
   89  96     1     0
  101 365     1    -1
  112 126     1     0
  122 132     1    -1
  129 137     1     0
  129 153     1    -1
  140 154     1     0
  168 175     1    -1
  170 173     1     0
  177 185     1     0
  184 193     1    -1
  190 198     1     0
  214 221     1    -1
  216 221     1     0
  226 238     1    -1
  236 242     1     0
  241 253     1    -1
  247 249     1     0
  251 270     1    -1
  257 272     1    -1
  265 281     1    -1
  268 271     1     0
  296 308     1    -1
  304 314     1     0
  305 363     1    -1
  327 339     1     0
  351 359     1    -1
  352 365     1     0
End
