NMec = 98512
T = 37
P = 2
Profits ignored
Solution time = 4.616e+00
Maximum possible tasks = 21
Solutions = 1782
Task data
    1  23     1    -1
    4  20     1     0
    5 154     1    -1
    9  15     1     1
   17  28     1     1
   21  30     1     0
   24  40     1    -1
   27  47     1    -1
   36  48     1     0
   39  40     1     1
   40 177     1    -1
   51  72     1    -1
   54  62     1     0
   59  75     1    -1
   69  74     1     0
   70  79     1     1
   75  83     1    -1
   79  93     1     0
   80 123     1    -1
   82  97     1     1
   98 120     1    -1
  103 127     1    -1
  104 117     1    -1
  105 123     1     0
  109 119     1     1
  121 123     1     1
  129 136     1     0
  129 145     1    -1
  140 146     1     0
  141 155     1     1
  141 161     1    -1
  147 161     1    -1
  156 161     1    -1
  156 168     1     0
  161 174     1     1
  170 183     1     0
  177 183     1     1
End
