NMec = 98513
T = 33
P = 4
Profits not ignored
Solution time = 2.474e+00
Viable job selections = 263038340
Best total profit = 57141
Task data
    1  54 12733     0
    1  76 10767    -1
    3   8   740     1
    5  10   873    -1
    6  15  1087    -1
    6  17  2201     2
    7  21  1930    -1
    7  27  4887     3
   10  18  2263     1
   11  14   438    -1
   12  13   292    -1
   15  27  1554    -1
   17  30  1791    -1
   18  29  2414     2
   19  72  7364    -1
   20  26  1346    -1
   20  29  1185    -1
   20  31  1441    -1
   20  33  2160    -1
   25  80  9452     1
   28  30   406     3
   30  44  1855    -1
   30  44  3114     2
   30  79  6616    -1
   31  65  6150     3
   36  41   844    -1
   38  40   576    -1
   39  55  2738    -1
   45  80  7599     2
   58  76  3762     0
   61  80  3747    -1
   62  79  2015    -1
   68  77  1420     3
End
