NMec = 98513
T = 36
P = 3
Profits ignored
Solution time = 6.205e+00
Maximum possible tasks = 21
Solutions = 2624
Task data
    3  21     1    -1
    3  22     1     0
    4  10     1     1
   10  90     1    -1
   11  32     1     1
   15  23     1     2
   19  45     1    -1
   24  31     1     0
   32  56     1    -1
   33  39     1     0
   37  47     1     1
   42  44     1     0
   44  53     1     2
   48  57     1     0
   51 112     1    -1
   54  67     1    -1
   60  67     1     0
   62  69     1     1
   63  73     1     2
   64  83     1    -1
   73  90     1    -1
   78  89     1     0
   79  83     1     1
   79  98     1    -1
   79 102     1    -1
   80  89     1     2
   81  99     1    -1
   86 102     1    -1
   89 100     1    -1
   89 110     1    -1
   90 101     1     0
   92  97     1     1
   93 104     1    -1
   97 112     1     2
  102 106     1     0
  104 117     1     1
End
